Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
333,https://amigos.org/services/continuing-education/discover-hyku-empowering-libraries-open-source-repository-solutions,Access denied | Amigos Library Services,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,"<html lang=""en"" dir=""ltr"" class=""js"">"
334,https://amigos.org/services/continuing-education/hive-tips-and-tricks-using-generative-ai,Access denied | Amigos Library Services,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,"<html lang=""en"" dir=""ltr"" class=""js"">"
335,https://amigos.org/services/trans-amigos-express/disruption-of-service,TAE | Login,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,"<html lang=""en"" class=""b-root wf-comfortaa-n5-active wf-notosanshanunoo-n4-active wf-nunito-n4-active wf-nunito-n6-active wf-nunito-n7-active wf-opensans-n4-active wf-opensans-n5-active wf-opensans-n6-active wf-opensans-n7-active wf-active"" style=""height: 100%;"">"
335,https://amigos.org/services/trans-amigos-express/disruption-of-service,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaKot bubble-r-container fixed"">"
335,https://amigos.org/services/trans-amigos-express/disruption-of-service,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaT bubble-r-container flex column""><div class=""bubble-element Text baTaHeaU"">Enter Your Email</div><input class=""bubble-element Input baTaHeaV a1773176490723x486"" type=""email"" placeholder=""Email"" style=""background-color: rgb(247, 247, 248);""></div>"
335,https://amigos.org/services/trans-amigos-express/disruption-of-service,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaZ bubble-r-container flex column"">"
335,https://amigos.org/services/trans-amigos-express/disruption-of-service,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Text baTaHyx clickable-element"">Forgot Password?</div>"
335,https://amigos.org/services/trans-amigos-express/disruption-of-service,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaIaLaI bubble-r-container flex row""><div class=""bubble-element Text baTaIaLaN"">Don't have an account? </div><div class=""bubble-element Text baTaIaLaO clickable-element""> Sign Up </div></div>"
336,https://amigos.org/services/trans-amigos-express/holiday-closing-report,TAE | Login,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,"<html lang=""en"" class=""wf-comfortaa-n5-active wf-notosanshanunoo-n4-active wf-nunito-n4-active wf-nunito-n6-active wf-nunito-n7-active wf-opensans-n4-active wf-opensans-n5-active wf-opensans-n6-active wf-opensans-n7-active wf-active b-root"" style=""height: 100%;"">"
336,https://amigos.org/services/trans-amigos-express/holiday-closing-report,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaKot bubble-r-container fixed"">"
336,https://amigos.org/services/trans-amigos-express/holiday-closing-report,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaT bubble-r-container flex column""><div class=""bubble-element Text baTaHeaU"">Enter Your Email</div><input class=""bubble-element Input baTaHeaV a1773176492403x486"" type=""email"" placeholder=""Email"" style=""background-color: rgb(247, 247, 248);""></div>"
336,https://amigos.org/services/trans-amigos-express/holiday-closing-report,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaZ bubble-r-container flex column"">"
336,https://amigos.org/services/trans-amigos-express/holiday-closing-report,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Text baTaHyx clickable-element"">Forgot Password?</div>"
336,https://amigos.org/services/trans-amigos-express/holiday-closing-report,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaIaLaI bubble-r-container flex row""><div class=""bubble-element Text baTaIaLaN"">Don't have an account? </div><div class=""bubble-element Text baTaIaLaO clickable-element""> Sign Up </div></div>"
337,https://amigos.org/services/trans-amigos-express/lost-damaged-items,TAE | Login,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,"<html lang=""en"" class=""wf-comfortaa-n5-active wf-notosanshanunoo-n4-active wf-nunito-n4-active wf-nunito-n6-active wf-nunito-n7-active wf-opensans-n4-active wf-opensans-n5-active wf-opensans-n6-active wf-opensans-n7-active wf-active b-root"" style=""height: 100%;"">"
337,https://amigos.org/services/trans-amigos-express/lost-damaged-items,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaKot bubble-r-container fixed"">"
337,https://amigos.org/services/trans-amigos-express/lost-damaged-items,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaT bubble-r-container flex column""><div class=""bubble-element Text baTaHeaU"">Enter Your Email</div><input class=""bubble-element Input baTaHeaV a1773176494061x486"" type=""email"" placeholder=""Email"" style=""background-color: rgb(247, 247, 248);""></div>"
337,https://amigos.org/services/trans-amigos-express/lost-damaged-items,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaZ bubble-r-container flex column"">"
337,https://amigos.org/services/trans-amigos-express/lost-damaged-items,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Text baTaHyx clickable-element"">Forgot Password?</div>"
337,https://amigos.org/services/trans-amigos-express/lost-damaged-items,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaIaLaI bubble-r-container flex row""><div class=""bubble-element Text baTaIaLaN"">Don't have an account? </div><div class=""bubble-element Text baTaIaLaO clickable-element""> Sign Up </div></div>"
338,https://amigos.org/services/trans-amigos-express/tae-supply-request,TAE | Login,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,"<html lang=""en"" class=""wf-comfortaa-n5-active wf-notosanshanunoo-n4-active wf-nunito-n4-active wf-nunito-n6-active wf-nunito-n7-active wf-opensans-n4-active wf-opensans-n5-active wf-opensans-n6-active wf-opensans-n7-active wf-active b-root"" style=""height: 100%;"">"
338,https://amigos.org/services/trans-amigos-express/tae-supply-request,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaKot bubble-r-container fixed"">"
338,https://amigos.org/services/trans-amigos-express/tae-supply-request,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaT bubble-r-container flex column""><div class=""bubble-element Text baTaHeaU"">Enter Your Email</div><input class=""bubble-element Input baTaHeaV a1773176495813x486"" type=""email"" placeholder=""Email"" style=""background-color: rgb(247, 247, 248);""></div>"
338,https://amigos.org/services/trans-amigos-express/tae-supply-request,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaHeaZ bubble-r-container flex column"">"
338,https://amigos.org/services/trans-amigos-express/tae-supply-request,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Text baTaHyx clickable-element"">Forgot Password?</div>"
338,https://amigos.org/services/trans-amigos-express/tae-supply-request,TAE | Login,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""bubble-element Group baTaIaLaI bubble-r-container flex row""><div class=""bubble-element Text baTaIaLaN"">Don't have an account? </div><div class=""bubble-element Text baTaIaLaO clickable-element""> Sign Up </div></div>"
405,https://amigos.org/services/member-discounts/vendors/research-solutions,Research Solutions | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h4 data-asw-org-font-size=""16"" style=""font-size: 16px;"">"
430,https://amigos.org/services/job-bank/library-assistant-i-part-time-harper-college-palatine-il-1,"Library Assistant I - Part Time -- Harper College -- Palatine, IL | Amigos Library Services",moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">ABOUT US</h3>"
433,https://amigos.org/node/12794%20,Page not found | Amigos Library Services,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,"<html lang=""en"" dir=""ltr"" class=""js"">"
435,https://amigos.org/node/12725%20,Page not found | Amigos Library Services,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,"<html lang=""en"" dir=""ltr"" class=""js"">"
437,https://amigos.org/node/12651%20,Page not found | Amigos Library Services,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,"<html lang=""en"" dir=""ltr"" class=""js"">"
439,https://amigos.org/node/12485%20,Page not found | Amigos Library Services,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,"<html lang=""en"" dir=""ltr"" class=""js"">"
442,https://amigos.org/node/12502%20,Page not found | Amigos Library Services,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,"<html lang=""en"" dir=""ltr"" class=""js"">"
460,https://amigos.org/news/archive?page=0,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
461,https://amigos.org/news/archive?page=1,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
462,https://amigos.org/news/archive?page=2,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
463,https://amigos.org/news/archive?page=3,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
464,https://amigos.org/news/archive?page=4,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
465,https://amigos.org/news/archive?page=5,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
466,https://amigos.org/news/archive?page=6,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
467,https://amigos.org/news/archive?page=7,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
468,https://amigos.org/news/archive?page=8,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
469,https://amigos.org/news/archive?page=23,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
474,https://amigos.org/taxonomy/term/18/feed,,serious,document-title,Ensure each HTML document contains a non-empty <title> element,Documents must have <title> element to aid in navigation,https://dequeuniversity.com/rules/axe/4.10/document-title?application=axeAPI,<html>
474,https://amigos.org/taxonomy/term/18/feed,,serious,html-has-lang,Ensure every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.10/html-has-lang?application=axeAPI,<html>
474,https://amigos.org/taxonomy/term/18/feed,,moderate,landmark-one-main,Ensure the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.10/landmark-one-main?application=axeAPI,<html>
474,https://amigos.org/taxonomy/term/18/feed,,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,<html>
474,https://amigos.org/taxonomy/term/18/feed,,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<pre style=""word-wrap: break-word; white-space: pre-wrap;"">"
80,https://amigos.org/services/job-bank/music-cataloging-and-subject-specialist-rice-university-houston-tx,"Music Cataloging and Subject Specialist -- Rice University -- Houston, TX | Amigos Library Services",moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;""><strong>Job Description</strong></h3>"
90,https://amigos.org/services/job-bank/technical-services-academic-librarian-central-texas-college-killeen-tx,"Technical Services Academic Librarian -- Central Texas College -- Killeen, TX | Amigos Library Services",serious,definition-list,Ensure <dl> elements are structured correctly,"<dl> elements must only directly contain properly-ordered <dt> and <dd> groups, <script>, <template> or <div> elements",https://dequeuniversity.com/rules/axe/4.10/definition-list?application=axeAPI,"<dl data-asw-org-font-size=""16"" style=""font-size: 16px;"">"
90,https://amigos.org/services/job-bank/technical-services-academic-librarian-central-texas-college-killeen-tx,"Technical Services Academic Librarian -- Central Texas College -- Killeen, TX | Amigos Library Services",moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;""><strong>Summary of Position</strong></h3>"
94,https://amigos.org/services/job-bank/head-librarian-missouri-historical-society-st-louis-mo,"Head Librarian -- Missouri Historical Society -- St. Louis, MO | Amigos Library Services",moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;""><strong>Head Librarian</strong></h3>"
